urn:cts:perslit:ferdousi.shahname:jamid	ferdousi		shahname	"
جمشید"		
urn:cts:perslit:jami.7ourang:7-4.20	jami		7ourang	"
بخش ۲۰ - سؤال و جواب ذوالنون با عاشق مفتون"		والی مصر ولایت، ذوالنون%آن به اسرار حقیقت مشحون||گفت در مکه مجاور بودم%در حرم حاضر و ناظر بودم||ناگه آشفته جوانی دیدم%نه جوان، سوخته جانی دیدم||لاغر و زرد شده همچو هلال%کردم از وی ز سر مهر سؤال||که: «مگر عاشقی؟ ای شیفته مرد!%که بدین گونه شدی لاغر و زرد؟»||گفت: «آری به سرم شور کسی‌ست%که‌ش چو من عاشق رنجور بسی‌ست»||گفتمش: «یار به تو نزدیک است%یا چو شب روزت از او تاریک است؟||گفت: «در خانهٔ اوی‌ام همه عمر%خاک کاشانهٔ اوی‌ام همه عمر»||گفتمش: «یک‌دل و یک‌روست به تو%یا ستمکار و جفاجوست به تو؟»||گفت: «هستیم به هر شام و سحر%به هم آمیخته چون شیر و شکر»||گفتمش: « ... جا افتاده ... »%« ... جا افتاده ... »||لاغر و زرد شده بهر چه‌ای؟%سر به سر درد شده بهر چه‌ای؟»||گفت: «رو رو، که عجب بی‌خبری!%به کزین گونه سخن درگذری||محنت قرب ز بعد افزون است%جگر از هیبت قرب‌ام خون است||هست در قرب همه بیم زوال%نیست در بعد جز امید وصال||آتش بیم دل و جان سوزد%شمع امید روان افروزد
urn:cts:perslit:jami.7ourang:7-4.21	jami		7ourang	"
بخش ۲۱ - حکایت پیر خارکش"		خارکش پیری با دلق درشت%پشته‌ای خار همی برد به پشت||لنگ‌لنگان قدمی برمی‌داشت%هر قدم دانهٔ شکری می‌کاشت||کای فرازندهٔ این چرخ بلند!%وی نوازندهٔ دل‌های نژند!||کنم از جیب نظر تا دامن%چه عزیزی که نکردی با من||در دولت به رخم بگشادی%تاج عزت به سرم بنهادی||حد من نیست ثنایت گفتن%گوهر شکر عطایت سفتن||نوجوانی به جوانی مغرور%رخش پندار همی‌راند ز دور||آمد آن شکرگزاری‌ش به گوش%گفت کای پیر خرف گشته، خموش!||خار بر پشت، زنی زین سان گام%دولتت چیست، عزیزی‌ت کدام؟||عمر در خارکشی باخته‌ای%عزت از خواری نشناخته‌ای||پیر گفتا که: «چه عزت زین به%که نی‌ام بر در تو بالین نه؟||کای فلان! چاشت بده یا شام‌ام%نان و آبی (که) خورم و آشامم||شکر گویم که مرا خوار نساخت%به خسی چون تو گرفتار نساخت||به ره حرص شتابنده نکرد%بر در شاه و گدا بنده نکرد||داد با اینهمه افتادگی‌ام%عز آزادی و آزادگی‌ام»
urn:cts:perslit:jami.7ourang:7-4.22	jami		7ourang	"
بخش ۲۲ - فتوت"		ای که از طبع فرومایهٔ خویش%می‌زنی گام پی وایهٔ خویش!||خاطر از وایهٔ خود خالی کن!%زین هنر پایهٔ خود عالی کن!||بهر خود، گرمی جز سردی نیست%سردی آیین جوانمردی نیست||چند روزی ز قوی‌دینان باش!%در پی حاجت مسکینان باش!||شمع شو! شمع، که خود را سوزی%تا به آن بزم کسان افروزی||با بد و نیک و نکوکاری ورز!%شیوهٔ یاری و غمخواری ورز!||ابر شو! تا که چو باران ریزی،%بر گل و خس همه یک‌سان ریزی||چشم بر لغزش یاران مفکن!%به ملامت دل یاران مشکن!||درگذر از گنه و از دگران!%چو ببینی گنهی، درگذران!||باش چون بحر ز آلایش پاک!%ببر آلایش از آلایشناک!||همچو دیده به سوی خویش مبین!%خویش را از دگران بیش مبین!||بس عمارت که بود خانهٔ رنج%بس خرابی که بود پردهٔ گنج||بت خود را بشکن خوار و ذلیل!%نامور شو به فتوت چو خلیل!||بت تو نفس هواپرور توست%که به صد گونه خطا رهبر توست||بسط کن بر همه کس خوان کرم!%بذل کن بر همه همیان درم!||گر براهیمی اگر زردشتی،%روی در هم مکش از هم‌پشتی!||باز کش پای ز آزار، همه!%دست بگشای به ایثار، همه!||هر چه بدهی به کسی، باز مجوی،%دل ز اندیشهٔ آن پاک بشوی!||آنچه بخشند چه بسیار و چه کم%نیست برگشتن از آن طور کرم||طفل چون صاحب احسان گردد%زود از داده پشیمان گردد||هر چه خندان بدهد، نتواند%که دگر گریه کنان نستاند||تا توانی مگشا جیب کسان!%منگر در هنر و عیب کسان!||عیب‌بینی هنری چندان نیست%هدف قصد جوانمردان نیست||هر چه نامش نه پسندیده کنی%بهتر آن است که نادیده کنی||دل ز اندیشهٔ آن داری دور%دیده از دیدن آن سازی کور||بو که از چون تو نکو کرداری%به دل کس نرسد آزاری
urn:cts:perslit:jami.7ourang:7-4.23	jami		7ourang	"
بخش ۲۳ - در صدق چنانکه ظاهر و باطن یک‌سان بود"		ای گرو کرده زبان را به دروغ!%برده بهتان ز کلام تو فروغ!||این نه شایستهٔ هر دیده‌ورست،%که زبانت دگر و دل دگرست||از ره صدق و صفا دوری چند؟%دل قیری، رخ کافوری چند؟||روی در قاعدهٔ احسان کن!%ظاهر و باطن خود یک‌سان کن!||یک‌دل و یک جهت و یک‌رو باش!%وز دورویان جهان، یک سو باش!||از کجی خیزد هر جا خللی‌ست%«راستی، رستی! نیکو مثلی‌ست||راست جو، راست نگر، راست گزین!%راست گو، راست شنو، راست نشین!||تیر اگر راست رود بر هدف است%ور رود کج، ز هدف بر طرف است||راست رو! راست، که سرور باشی!%در حساب از همه برتر باشی!||صدق، اکسیر مس هستی توست%پایه‌افراز فرودستی توست||اثر کذب بود «هیچکسی»%به «کسی» گر رسی از صدق رسی||صبح کاذب زند از کذب نفس%نور او یک دو نفس باشد و بس||صبح صادق چون بود صدق‌پسند%علم نورش از آن است بلند||دل اگر صدق‌پسندی‌ت دهد%بر همه خلق بلندی‌ت دهد||صدق پیش آر که صدیق شوی%گوهر لجهٔ تحقیق شوی||آنست صدیق که دل‌صاف شود%دعوی او همه انصاف شود||وعدهٔ او به وفا انجامد%دلش از غش به صفا آرامد||در درون تخم امانت فکند%وز برون خار خیانت بکند||برفتد بیخ نفاق از گل او%سرزند شاخ وفاق از دل او
urn:cts:perslit:jami.7ourang:7-4.24	jami		7ourang	"
بخش ۲۴ - حکایت وارد شدن میهمان بر اعرابی"		آن عرابی به شتر قانع و شیر%در یکی بادیه شد مرحله‌گیر||ناگهان جمعی از ارباب قبول%شب در آن مرحله کردند نزول||خاست مردانه به مهمانیشان%شتری برد به قربانیشان||روز دیگر ره پیشینه سپرد%بهر ایشان شتری دیگر برد||عذر گفتند که: «باقی‌ست هنوز،%چیزی از دادهٔ دوشین امروز»||گفت: «حاشا که ز پس ماندهٔ دوش%دیگ جود آیدم امروز به جوش»||روز دیگر به کرم‌ورزی، پشت%کرد محکم، شتری دیگر کشت||بعد از آن بر شتری راکب شد%بهر کاری ز میان غایب شد||قوم چون خوان نوالش خوردند%عزم رحلت ز دیارش کردند،||دست احسان و کرم بگشادند%بدره‌ای زر به عیالش دادند||دور ناگشته هنوز از دیده%میهمانان کرم ورزیده،||آمد آن طرفه عرابی از راه%دید آن بدره در آن منزلگاه||گفت: که این چیست؟ زبان بگشودند%صورت حال بدو بنمودند||خاست بدره به کف و نیزه به دوش%وز پی قوم برآورد خروش||کای سفیهان خطااندیشه!%وی لئیمان خساست‌پیشه!||بود مهمانی‌ام از بهر کرم%نه چو بیع از پی دینار و درم||دادهٔ خویش ز من بستانید!%پس رواحل به ره خود رانید!||ورنه تا جان برود از تنتان%در تن از نیزه کنم روزنتان||دادهٔ خویش گرفتند و گذشت%و آن عرابی ز قفاشان برگشت
urn:cts:perslit:jami.7ourang:7-4.25	jami		7ourang	"
بخش ۲۵ - مناجات"		این محیط کرم‌ات عرش صدف!%عرشیان در طلب‌ات باد به کف!||ما که لب تشنهٔ احسان توایم%کشتی افتاده به توفان توایم||نظر لطف بدین کشتی دار!%به سلامت برسانش به کنار!||خیمهٔ ما به سوی ساحل زن!%صدف هستی ما را بشکن!||پردهٔ ظلمت ما را بگشای!%صفوت گوهر ما را بنمای!||جامی از هستی خود گشته ملول%دارد از فضل تو امید قبول||بر سر خوان عطایش بنشان!%دامن از گرد خطایش بفشان!||بنگر اندوه وی و، شادش کن!%بنده‌ای پیر شد، آزادش کن!||بینشی ده، که تو را بشناسد%نعمتت را ز بلا بشناسد||کمر خدمت طاعت بخش‌اش!%افسر عز قناعت بخش‌اش!
urn:cts:perslit:jami.7ourang:7-4.26	jami		7ourang	"
بخش ۲۶ - در سماع"		ای درین خوابگه بی‌خبران!%بی‌خبر خفته چو کوران و کران!||سر برآور! که درین پرده‌سرای%می‌رسد بانگ سرود از همه جای||بلبل از منبر گل نغمه‌نواز%قمری از سرو سهی زمزمه‌ساز||فاخته چنبر دف کرده ز طوق%از نوا گشته جلاجل زن شوق||لحن قوال شده صومعه‌گیر%نه مرید از دم او جسته نه پیر||مطرب از مصطبهٔ دردکشان%داده از منزل مقصود نشان||بادنی بر دل مستان صبوح%فتح کرده همه ابواب فتوح||عود خاموش ز یک مالش گوش%کودک آساست، بر آورده خروش||چنگ با عقل ره جنگ زده%راه صد دل به یک گهنگ زده||تائب کاسه شکسته ز شراب%به یکی کاسه شده مست رباب||پیر راهب شده ناقوس‌زنان%نوبتی، مقرعه بر کوس‌زنان||بانگ برداشته مرغ سحری%کرده بر خفته‌دلان پرده‌دری||موذن از راحت شب دل کنده%کرده صد مرده به یا حی زنده||چرخ در چرخ ازین بانگ و نوا%کوه در رقص ازین صوت و صدا||ساعی ترک گران‌جانی کن!%شوق را سلسله‌جنبانی کن!||بگسل از پای خود این لنگر گل!%گام زن شو به سوی کشور دل!||آستین بر سر عالم افشان!%دامن از طینت آدم افشان!||سنگ بر شیشهٔ ناموس انداز!%چاک در خرقهٔ سالوس انداز!||نغمهٔ جان شنو از چنگ سماع!%بجه از جسم به آهنگ سماع!||همه ذات جهان در رقص‌اند%رو نهاده به کمال از نقص‌اند||تو هم از نقص قدم نه به کمال!%دامن افشان ز سر جاه و جلال!
urn:cts:perslit:jami.7ourang:7-4.27	jami		7ourang	"
بخش ۲۷ - در نصیحت به نفس خود و یاد از شاعران گذشته"		جامی این پرده‌سرایی تا چند؟%چون جرس هرزه‌درایی تا چند؟||چند بیهوده کنی خوش‌نفسی؟%هیچ نگرفت دلت چون جرسی؟||ساز بشکست، چه افغان است این؟%تار بگسست، چه دستان است این؟||نامهٔ عمر به توقیع رسید%نظم احوال به تقطیع رسید||تنگ شد قافیهٔ عمر شریف%دم به دم می‌شودش مرگ ردیف||سر به جیب و همه شب قافیه‌جوی%تنت از معنی باریک چو موی||گر شوی سوی مقاصد قاصد%باشی آن را به قصاید صاید||مدح ارباب مناصب گویی%فتح ابواب مطالب جویی||گه پی ساده‌دلی سازی جا%بر سر لوح بیان حرف هجا||گه کنی میل غزل‌پردازی%عشق با طرفه غزالان بازی||گه پی مثنوی آری زیور%بر یکی وزن هزاران گوهر||گه ز ترجیع شوی بندگشای%عقل و دین را فکنی بند به پای||گاهی از بهر دل غمخواره%سازی از نظم رباعی چاره||گاه با هم دهی از طبع بلند%قطعه قطعه ز جواهر پیوند||گه به یک بیت ز غم فرد شوی%مرهم دیدهٔ پر درد شوی||گه کنی گم به معما نامی%خواهی از گمشده‌نامی کامی||گاهی از مرثیه ماتم داری%وز مژه خون دمادم باری||بین! که چون سهم اجل را قوسی%کرد گردون ز پی فردوسی||با دل شق‌شده چون خامهٔ خویش%ماند سرریز ز شهنامهٔ خویش||ناظم گنجه، نظامی که به رنج%عدد گنج رسانید به پنج،||روز آخر که ازین مجلس رفت%گنج‌ها داده ز کف مفلس رفت||گرچه می‌رفت به سحرافشانی%بر فلک دبدبهٔ خاقانی||گشت پامال حوادث دبه‌اش%بی‌صدا شد چو دبه دبدبه‌اش||انوری کو و دل انور او%حکمت شعر خردپرور او||کو ظهیر آنکه چو خضر آب حیات%کلک او داشت نهان در ظلمات||هر کمالی که سپاهانی داشت%که به کف تیغ سخنرانی داشت،||شد ازین دایرهٔ دیر مسیر%آخرالامر همه نقص‌پذیر||کرد حرفی که رقم زد سعدی%بر رخ شاهد معنی جعدی||صرصر قهر چو شد حادثه‌زای%آمد آن جعد معنبر در پای||حافظ از نظم بلند آوازه%ساخت آیین سخن را تازه||لیک روز و شب‌اش از پیشه کمند%ز آن بلندی سوی پستی افگند||پخت از دور مه و گردش سال%میوهٔ باغ خجندی به کمال||لیک باد اجل آن میوهٔ پاک%ریخت در خطهٔ تبریز به خاک||آن دو طوطی که به نوخیزیشان%بود در هند شکرریزیشان||عاقبت سخرهٔ افلاک شدند%خامشان قفس خاک شدند||کام بگشا! که شگرفان رفتند%یک به یک نادره‌حرفان رفتند||زود برگرد! چو برخواهی گشت%زین تبه حرف که فرصت بگذشت||کیست کز باغ سخنرانی رفت%که نه با داغ پشیمانی رفت؟
urn:cts:perslit:jami.7ourang:7-4.28	jami		7ourang	"
بخش ۲۸ - حکایت حکیم سنائی رحمةالله علیه  که وقت وفات این بیت می‌خواند: «بازگشتم از سخن زیرا که نیست» «در سخن معنی و در معنی سخن»"		چون سنائی شه اقلیم سخن%راقم تختهٔ تعلیم سخن||خواست گردون که فرو شوید پاک%رقم هستی‌اش از تختهٔ خاک||بر سر بستر کین افکندش%همچو سایه به زمین افکندش||لب هنوزش ز سخن نابسته%داشت با خود سخنی آهسته||همدمی بر دهنش گوش نهاد%به حدیثش نظر هوش گشاد||آنچه از عالم دل تلقین داشت%بیتکی بود که مضمون این داشت||که: بر اطوار سخن بگذشتم%لیک حالی ز همه برگشتم||بر دلم نیست ز هر بیش و کمی%بجز از حرف ندامت رقمی||زانکه دورست درین دیر کهن%سخن از معنی و معنی ز سخن||سخن آنجا که شود دام‌نمای%صید معنی نشود گام گشای||معنی آنجا که کشد دامن ناز%گفت و گو را نرسد دست نیاز||سخن آنجا که شود تنگ‌مجال%مرغ معنی نگشاید پر و بال||معنی آنجا که نهد پای بلند%از عبارت نتوان ساخت کمند||پایهٔ قدر سخن چون این است%وای طبعی که سخن آیین است||لب فروبند که خاموشی به!%دل تهی کن که فراموشی به!
urn:cts:perslit:jami.7ourang:7-4.29	jami		7ourang	"
بخش ۲۹ - مناجات"		ای رهائی ده هر بیهوشی!%مهر بر لب نه هر خاموشی!||به هوای تو سخن کوشی ما%به تمنای تو خاموشی ما||گر تو در حرف نهی لطف شگرف%لجه‌ای ژرف شود چشمهٔ حرف||بعد توست اصل همه تنگی‌ها%قرب تو مایهٔ یکرنگی‌ها||دل جامی که بود تنگ از تو%عندلیبی‌ست خوش آهنگ از تو||بال پروازش ازین تنگی ده!%نکهت‌اش از گل یکرنگی ده!||دوز از تار فنا دلق، او را!%برهان از خود و از خلق، او را!||عیبش از بی‌هنران سازنهان!%وز گمان هنرش باز رهان!||تا ز عیب و هنر خود آزاد%زید اندر کنف فضل تو شاد
urn:cts:perslit:jami.7ourang:7-4.2	jami		7ourang	"
بخش ۲ - سبب نظم جوهر آبدار سبحةالابرار"		شب که زد تیرگی مهرهٔ گل%قیرگون خیمه ز مخروطی ظل||چون مشبک قفس مشکین رنگ%گشت بر مرغ دلم عالم تنگ||بر خود این تنگ‌قفس چاک زدم%خیمه بر طارم افلاک زدم||عالمی یافتم، از عالم، پیش%هر چه اندیشه رسد، ز آن هم بیش||عقل، معزول ز گردآوری‌اش%وهم، عاجز ز مساحت گری‌اش||نور بر نور، چراغ حرمش%فیض بر فیض، سحاب کرمش||سنگ بطحاش گهروار همه%ابر صحراش گهربار همه||برسرم گوهر و در چندان ریخت%که مرا رشتهٔ طاقت بگسیخت||حیفم آمد که از آن گنج نهان%نشوم بهره‌ور و بهره‌فشان||گوش جان را صدف در کردم%جیب دل را ز گهر پر کردم||بازگشتم به قدمگاه نخست%عزم بر نظم گهر کرده درست||هر چه ز آنجا گهر و در رفتم%همه ز الماس تفکر سفتم||بس سحرها که به شام آوردم%شام‌ها همچو شفق خون خوردم||مرسله مرسله بر هم بستم%عقد بر عقد به هم پیوستم||سبحه‌ای شد پی ابرار، تمام%خواندمش سبحةالابرار به نام||می‌رسد عقد عقودش به چهل%هر یک از دل گره جهل گسل||اربعین است که درهای فتوح%زو گشاده‌ست به خلوتگه روح||گرت این سبحهٔ اقبال و شرف%افتد از گردش ایام به کف،||طوق گردن کن و آویزهٔ گوش!%به دو صد عقد در آن را مفروش!||بو که چون سبحه در آئی به شمار%رسدت دست به سر رشتهٔ کار||چرخ کحلی سلب ازرق‌پوش%همچو ابنای زمان زرق‌فروش||سبحهٔ عقد ثریا در دست%خواست بر گوهر این سبحه، شکست||گفتم این رشتهٔ گوهر به کفت%که بود نقد بلورین صدفت،||گرچه بس لامع و نورافشان است،%نور این سبحه دو صد چندان است||نور آن روی زمین را بگرفت%نور این کشور دین را بگرفت||نور آن چشم جهان روشن کرد%نور این دیدهٔ جان روشن کرد||گرچه آن گوهر بحر کهن است،%این نور آیین در درج سخن است||گرچه در سلک زمان آن پیش است،%چون درآری به شمار این بیش است||گرچه آن را نرسد دست کسی،%بهره‌ور گردد ازین دست بسی||گرچه آن هموطن ماه و خورست%این به خورشید ازل راهبرست
urn:cts:perslit:jami.7ourang:7-4.30	jami		7ourang	"
بخش ۳۰ - خطاب به خوانندگان و عیبجویان"		ای ز گلزار سخن یافته بوی!%وز تماشای چمن تافته روی!||بلبل دل شده مشتاق چمن%نکته‌خوان گشته ز اوراق سمن||هر ورق کز سخن آنجاست رقم%نسخهٔ صحت رنج است و الم||دیده بر دفتر جمعیت نه!%الم تفرقه را صحت ده!||باش با دفتر اشعار جلیس!%انه خیر جلیس و انیس||دفتر شعر بود روضهٔ روح%فاتح غنچهٔ گل‌های فتوح||هر ورق را که ز وی گردانی%گل دیگر شکفد، گر دانی||خواهی آن رونق باغ تو شود%نکهت‌اش عطر دماغ تو شود||خاطر از شوب غرض، خالی کن!%همت از صدق طلب، عالی کن!||از درون زنگ تعصب بزدای!%بر خرد راه تامل بگشای!||مگذر قطره‌زنان همچو قلم!%همچو پرگار به جادار قدم!||زن به گردآوری معنی رای!%گرد هر نقطه و هر نکته برآی!||بحر هر چند که کان گهرست%صدف او ز گهر بیشترست||اصل، معنی‌ست، منه! تا دانی!%در عبارت چو فتد نقصانی||عیب اگر هست، کرم ورز (و) بپوش!%ورنه بیهوده چو حاسد مخروش!||چون تو از نظم معانی دوری%زین قبل هر چه کنی معذوری||هرگز از دل نچکاندی خونی%بهر موزونی و ناموزونی||مرغ تو قافیه آهنگ نشد%خاطرت قافیه‌سان تنگ نشد||پس زانو ننشستی یک شب%دیده از خواب نبستی یک شب||تا کشی گوهری از مخزن غیب،%سر فکرت نکشیدی در جیب||تا دهد معنی باریکت روی،%نشدی ز آتش دل حلقه چو موی||به که از کجروی‌ات دم نزنیم%ور دو صد طعنه‌زنی هم نزنیم
urn:cts:perslit:jami.7ourang:7-4.31	jami		7ourang	"
بخش ۳۱ - ختم کتاب و خاتمهٔ خطاب"		دامت آثارک، ای طرفه قلم!%دام دل‌ها زدی از مسک، رقم||نقد عمرست نثار قدمت%نور چشم است سواد رقمت||مرغ جان راست صریر تو صفیر%وز صفیر تو در آفاق نفیر||مرکب گرم عنان می‌رانی%خوی‌چکان قطره‌زنان می‌رانی||بافتی بر قد این حورسرشت%حله از طرهٔ حوران بهشت||این چه حور است درین حلهٔ ناز%کرده از دولت جاوید طراز||هر دو مصراع ز وی ابرویی%قبلهٔ حاجت حاجت‌جویی||چشمش از کحل بصیرت روشن%نظر لطف به عشاق فکن||طره‌اش پرده‌کش شاهد دین%خال او مردمک چشم یقین||لب او مژده‌ده باد مسیح%در فسون‌خوانی هر مرده، فصیح||گوشش از حلقهٔ اخلاص، گران%دیدهٔ عشق به رویش نگران||خرد گام‌زن از دنبالش%بیخود از زمزمهٔ خلخالش||یارب! این غیرت حورالعین را%شاهد روضهٔ علیین را،||از دل و دیدهٔ هر دیده‌وری%بخش، توفیق قبول نظری!||از خط خوب، کن‌اش پاینده!%وز دم پاک، طرب‌زاینده!||لیک در جلوه گه عزت و جاه%دارش از دست دو بی‌باک نگاه!||اول آن خامه‌زن سهونویس%به سر دوک قلم بیهده‌ریس||بر خط و شعر، وقوف از وی دور%چشم داران حروف از وی کور||فصل و وصل کلماتش نه بجای%فصل پیش نظرش وصل نمای||گه دو بیگانه به هم پیوسته%گه دو همخانه ز هم بگسسته||نقطه‌هایش نه به قانون حساب%خارج از دایرهٔ صدق و صواب||خال رخساره زده بر کف پای%شده از زیور رخ پای آرای||ور به اعراب شده راه‌سپر%رسم خط گشته از او زیر و زبر||گه نوشته‌ست کم وگاه فزون%گشته موزون ز خطش ناموزون||یا بریده یکی از پنج انگشت%یا فزوده ششم انگشت به مشت||دوم آن کس که کشد گزلک تیز%بهر اصلاح، نه از سهو ستیز||بتراشد ز ورق حرف صواب%زند از کلک خطا نقش بر آب||گل کند، خار به جا بنشاند%خار را خوبتر از گل داند||حسن مقطع چو بود رسم کهن%قطع کردیم بر این نکته سخن
urn:cts:perslit:jami.7ourang:7-4.3	jami		7ourang	"
بخش ۳ - در شرح سخن"		ای قوی ربقهٔ اخلاص به تو%خلعت لطف سخن خاص به تو||بحر معنی ز سخن پرگهرست%هر یک آویزهٔ گوش دگرست||در بلورین صدف چرخ کهن%نیست والا گهری به ز سخن||سخن آواز پر جبریل است%روح‌بخش دم اسرافیل است||سخن از عرش برین آمده است%بهر پاکان به زمین آمده است||نیست در کان گهری بهتر از این%یا در امکان هنری بهتر از این||نامهٔ کون به وی طی شده است%آدمی، آدمی از وی شده است||فضل کلک و شرف نامه به اوست%عقل را گرمی هنگامه به اوست||گر نبودی سخن تازه‌رقم%نشدی لوح و قلم، لوح و قلم||قلم و لوح به کار سخن‌اند%روز و شب نقش نگار سخن‌اند||به سخن زنده شود نام همه%به سخن پخته شود خام همه||طبع ما خرم از اندیشهٔ اوست%خرم آن کس که سخن پیشهٔ اوست||شب که از فکر سخن پشت خم‌ایم%فرق را کرده رفیق قدم‌ایم||حلقهٔ خاتم صدق‌ایم و یقین%دل نگین، حرف سخن نقش نگین||زیر این دایرهٔ بی سر و بن%نتوان مدح سخن جز به سخن||مدح‌گویان که فلک معراج‌اند،%گاه مدحت به سخن محتاج‌اند||حامل سر ودیعت، سخن است%رهبر راه شریعت، سخن است||جلوهٔ حسن ز وصافی اوست%سکهٔ عشق ز صرافی اوست||سخن از چشمهٔ جان گیرد آب%زر رخشان ز شرر یابد تاب||آب آن، روضهٔ دین افروزد%تاب این، خرمن ایمان سوزد||ای بسا قفل درین کاخ دو در%که کلیدش نتوان ساخت ز زر||لب به افسون سخن آلایند%آن گره در نفسی بگشایند
urn:cts:perslit:jami.7ourang:7-4.4	jami		7ourang	"
بخش ۴ - حکایت شیخ مصلح‌الدین سعدی شیرازی، رحمةالله، که چون این بیت بگفت که: «برگ درختان سبز، در نظر هوشیار» «هر ورقی دفتری‌ست معرفت کردگار» یکی از اکابر در خواب دید که جمعی از ملائکه طبق‌های نور از بهر نثار وی می‌بردند:"		سعدی آن بلبل «شیراز سخن»%در گلستان سخن دستان زن||شد شبی بر شجر حمد خدای%از نوای سحری سحرنمای||بست بیتی ز دو مصراع به هم%هر یکی مطلع انوار قدم||جان از آن مژدهٔ جانان می‌یافت%بر خرد پرتو عرفان می‌تافت||عارفی زنده‌دلی بیداری%که نهان داشت بر او انکاری||دید در خواب که درهای فلک%باز کردند گروهی ز ملک||رو نمودند ز هر در زده صف%هر یک از نور نثاری بر کف||پشت بر گنبد خضرا کردند%رو درین معبد غبرا کردند||با دلی دستخوش خوف و رجا%گفت کای گرم روان! تا به کجا؟||مژده دادند که: «سعدی به سحر%سفت در حمد، یکی تازه گهر||نقد ما کان نه به مقدار وی است%بهر آن نکته ز اسرار وی است»||خواب‌بین عقدهٔ انکار گشاد%رو بدان قبلهٔ احرار نهاد||به در صومعهٔ شیخ رسید%از درون زمزمهٔ شیخ شنید||که رخ از خون جگر تر می‌کرد%با خود آن بیت مکرر می‌کرد
urn:cts:perslit:jami.7ourang:7-4.5	jami		7ourang	"
بخش ۵ - در استدلال بر وجود آفریدگار"		ای درین کارگه هوش‌ربای%روز و شب چشم نه و گوش‌گشای!||نه به چشم تو ز دیدن اثری%نه به گوش‌ات ز شنیدن خبری،||چند گاهی ره آگاهان گیر!%ترک همراهی بیراهان گیر!||پرده از چشم جهان بین کن باز!%بنگر پیش و پس و شیب و فراز!||بین که این دایرهٔ گردان چیست!%دور او گرد تو جاویدان چیست!||بر سرت چتر مرصع که فراشت!%بر وی این نقش ملمع که نگاشت!||مهر را نورده روز که کرد!%ماه را شمع شب‌افروز که کرد!||کیست میزان نه دکان سپهر!%کفه سازندهٔ آن از مه و مهر!||عین ممکن به براهین خرد%نتواند که شود هست به خود||چون ز هستی‌ش نباشد اثری،%چون به هستی رسد از وی دگری؟||ذات نایافته از هستی، بخش%چون تواند که بود هستی‌بخش؟||نقش، بی‌خامهٔ نقاش که دید؟%نغمه، بی‌زخمهٔ مطرب که شنید؟||ناید از ممکن تنها چون کار%حاجت افتاد به واجب ناچار||او به خود هست و جهان هست بدو%نیست دان هر چه نپیوست بدو!||جنبش از وی رسد این سلسله را%روی در وی بود این قافله را||همه را جنبش و آرام ازوست%همه را دانه ازو دام ازوست||او برد تشنگی تشنه، نه آب%او دهد شادی مستان، نه شراب||غنچه در باغ نخندد بی او%میوه بر شاخ نبندد بی او||از همه ساده کن آیینهٔ خویش!%وز همه پاک بشو سینهٔ خویش!||تا شود گنج بقا سینهٔ تو%غرق نور ازل آیینهٔ تو||طی شو وادی برهان و قیاس%تو بمانی و دل دوست‌شناس||دوست آنجا که بود جلوه‌نمای%حجت عقل بود تفرقه‌زای||چون نماید به تو این دولت روی،%رو در آن آر و، به کس هیچ مگوی!||زآنکه از گوهر عرفان خالی%به بود کیسهٔ استدلالی
urn:cts:perslit:jami.7ourang:7-4.6	jami		7ourang	"
بخش ۶ - حکایت آن ماهیان که تا به خشکی نیفتادند دریا را نشناختند"		داشت غوکی به لب بحر وطن%دایم از بحر همی راند سخن||روز و شب قصه دریا گفتی%گوهر مدحت دریا سفتی||گفتی: «از بحر پدید آمده‌ایم%زو درین گفت و شنید آمده‌ایم||دل ازو گوهر دانایی یافت%تن از او دست توانایی یافت||هر کجا می‌گذرم، اوست همه%هر طرف می‌نگرم، اوست همه»||ماهی‌ای چند رسیدند آنجا%وز وی این قصه شنیدند آنجا||عشق بحر از دلشان سر برزد%آتش شوق به جان‌شان در زد||پای تا سر همگی پای شدند%در طلب مرحله پیمای شدند||برگرفتند تک و پوی نیاز%بحرجویان به نشیب و به فراز||گاه در تک چو صدف جا کردند%گه چو خس رو به کنار آوردند||نه نشان یافت شد از بحر نه نام%می‌نهادند به نومیدی گام||از قضا صیدگری دام نهاد%راهشان بر گذر دام فتاد||یکسر آن جمع به دام افتادند%تن به جان دادن خود دردادند||صیدگر برد سوی ساحلشان%ساخت بر خشک‌زمین منزلشان||چند تن کوشش و جنبش کردند%خزخزان روی به بحر آوردند||نیم مرده چو رسیدند به بحر%جام مقصود کشیدند به بحر||دانش و بینششان روی نمود%کنچه می‌داد نشان غوک چه بود||زنده در بحر شهود آسودند%غرقه بودند در آن تا بودند
